filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS
./to_push/data/2017-ULU01_0+1_20170728_193602.wav,2017-07-28 19:36:02,2017-07-28 19:37:42,50.0 - 1000.0,2,"[149.5, 289.0]",93.0,[7.54 3.34],None
./to_push/data/2017-ULU01_0+1_20170728_193602.wav,2017-07-28 19:37:42,2017-07-28 19:39:22,50.0 - 1000.0,1,[147.5],92.0,[4.13],None
./to_push/data/2017-ULU01_0+1_20170728_193602.wav,2017-07-28 19:39:22,2017-07-28 19:41:02,50.0 - 1000.0,1,[147.5],94.0,[4.99],None
./to_push/data/2017-ULU01_0+1_20170930_230602.wav,2017-09-30 23:06:02,2017-09-30 23:07:42,50.0 - 1000.0,0,[],97.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_230602.wav,2017-09-30 23:07:42,2017-09-30 23:09:22,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_230602.wav,2017-09-30 23:09:22,2017-09-30 23:11:02,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170809_060602.wav,2017-08-09 06:06:02,2017-08-09 06:07:42,50.0 - 1000.0,3,"[132.0, 137.5, 375.0]",80.0,[2.26 6.01 5.21],None
./to_push/data/2017-ULU01_0+1_20170809_060602.wav,2017-08-09 06:07:42,2017-08-09 06:09:22,50.0 - 1000.0,4,"[132.0, 137.5, 150.0, 375.0]",80.0,[2.5  6.34 3.25 5.42],None
./to_push/data/2017-ULU01_0+1_20170809_060602.wav,2017-08-09 06:09:22,2017-08-09 06:11:02,50.0 - 1000.0,5,"[113.0, 132.0, 138.0, 150.0, 374.5]",81.0,[2.91 2.33 4.51 2.11 5.04],None
./to_push/data/2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:36:02,2017-07-26 11:37:42,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:37:42,2017-07-26 11:39:22,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:39:22,2017-07-26 11:41:02,50.0 - 1000.0,1,[151.5],94.0,[6.07],None
./to_push/data/2017-ULU01_0+1_20170930_213602.wav,2017-09-30 21:36:02,2017-09-30 21:37:42,50.0 - 1000.0,0,[],91.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_213602.wav,2017-09-30 21:37:42,2017-09-30 21:39:22,50.0 - 1000.0,0,[],91.0,[],None
